n,sigma(n),Prime Factorization,diff,Valid (d1, d2) Combinations
3532096,7068820,"2^6 * 229^1 * 241^1",4628,"+3664 +964; +964 +3664"
3574112,7155792,"2^5 * 61^1 * 1831^1",7568,"+244 +7324; +7324 +244"
3804448,7616700,"2^5 * 61^1 * 1949^1",7804,"+7796 +8; +8 +7796"
3808352,7624512,"2^5 * 61^1 * 1951^1",7808,"+4 +7804; +7804 +4"
3845056,7743952,"2^6 * 73^1 * 823^1",53840,"+1168 +52672; +52672 +1168"
3875264,7760208,"2^6 * 151^1 * 401^1",9680,"+16 +9664; +9664 +16"
3903296,7863840,"2^6 * 71^1 * 859^1",57248,"+2272 +54976; +54976 +2272"
4110016,8229600,"2^6 * 149^1 * 431^1",9568,"+32 +9536; +9536 +32"
4149056,8298180,"2^6 * 241^1 * 269^1",68,"+4 +64; +64 +4"
4242176,8621592,"2^8 * 73^1 * 227^1",137240,"+132568 +4672; +4672 +132568"
4607296,9214612,"2^6 * 193^1 * 373^1",20,"+16 +4; +4 +16"
4661056,9395968,"2^6 * 67^1 * 1087^1",73856,"+4288 +69568; +69568 +4288"
4690688,9529128,"2^8 * 73^1 * 251^1",147752,"+1168 +146584; +146584 +1168"
4802816,9756012,"2^8 * 73^1 * 257^1",150380,"+150088 +292; +292 +150088"
5143808,10448928,"2^8 * 71^1 * 283^1",161312,"+160744 +568; +568 +160744"
5451584,10936224,"2^6 * 103^1 * 827^1",33056,"+26464 +6592; +6592 +26464"
5725504,11462004,"2^6 * 137^1 * 653^1",10996,"+10448 +548; +548 +10448"
6112576,12230100,"2^6 * 149^1 * 641^1",4948,"+2384 +2564; +2564 +2384"
6574144,13157200,"2^6 * 139^1 * 739^1",8912,"+16 +8896; +8896 +16"
6774464,13551408,"2^6 * 151^1 * 701^1",2480,"+2416 +64; +64 +2416"
7198528,14406372,"2^6 * 137^1 * 821^1",9316,"+548 +8768; +8768 +548"
7733696,15468600,"2^6 * 149^1 * 811^1",1208,"+1192 +16; +16 +1192"
7864576,16221184,"2^8 * 31^1 * 991^1",492032,"+491536 +496; +496 +491536"
8102656,16711744,"2^8 * 31^1 * 1021^1",506432,"+16 +506416; +506416 +16"
8841088,18788400,"2^7 * 17^2 * 239^1",1106224,"+1088 +1105136; +1105136 +1088"
